center,left,right,steering,throttle,reverse,speed
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_10_863.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_10_863.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_10_863.jpg,-0.2735849,1,0,13.46249
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_10_933.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_10_933.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_10_933.jpg,-0.2735849,1,0,14.26321
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_11_002.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_11_002.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_11_002.jpg,-0.2735849,1,0,15.00666
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_11_075.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_11_075.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_11_075.jpg,-0.2735849,1,0,15.85772
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_11_146.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_11_146.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_11_146.jpg,-0.2735849,1,0,16.44474
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_11_214.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_11_214.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_11_214.jpg,-0.2735849,1,0,17.28677
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_11_283.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_11_283.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_11_283.jpg,-0.2735849,1,0,17.95022
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_11_352.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_11_352.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_11_352.jpg,-0.2735849,1,0,18.77097
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_11_422.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_11_422.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_11_422.jpg,-0.2735849,1,0,19.35455
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_11_490.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_11_490.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_11_490.jpg,-0.2735849,1,0,20.16445
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_11_557.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_11_557.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_11_557.jpg,-0.2264151,1,0,20.80265
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_11_626.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_11_626.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_11_626.jpg,-0.2075472,1,0,21.37411
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_11_693.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_11_693.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_11_693.jpg,-0.2075472,1,0,22.17504
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_11_763.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_11_763.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_11_763.jpg,-0.2075472,1,0,22.79254
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_11_832.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_11_832.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_11_832.jpg,-0.1603774,1,0,23.57386
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_11_903.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_11_903.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_11_903.jpg,-0.1415094,1,0,24.15174
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_11_973.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_11_973.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_11_973.jpg,-0.1132075,1,0,24.9296
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_12_044.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_12_044.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_12_044.jpg,-0.1132075,1,0,25.50815
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_12_111.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_12_111.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_12_111.jpg,-0.1132075,1,0,26.27164
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_12_178.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_12_178.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_12_178.jpg,-0.1132075,1,0,26.8388
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_12_249.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_12_249.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_12_249.jpg,-0.1132075,1,0,27.59031
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_12_316.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_12_316.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_12_316.jpg,-0.1132075,1,0,28.14962
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_12_385.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_12_385.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_12_385.jpg,-0.1132075,1,0,28.70536
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_12_454.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_12_454.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_12_454.jpg,-0.1132075,1,0,29.44093
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_12_522.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_12_522.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_12_522.jpg,-0.05660377,1,0,29.99113
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_12_593.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_12_593.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_12_593.jpg,-0.05660377,1,0,30.19132
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_12_661.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_12_661.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_12_661.jpg,-0.05660377,1,0,30.19057
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_12_729.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_12_729.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_12_729.jpg,-0.05660377,1,0,30.19015
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_12_797.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_12_797.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_12_797.jpg,-0.05660377,1,0,30.18763
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_12_866.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_12_866.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_12_866.jpg,-0.04716982,1,0,30.19062
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_12_934.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_12_934.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_12_934.jpg,-0.04716982,1,0,30.19024
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_13_002.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_13_002.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_13_002.jpg,-0.04716982,1,0,30.19016
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_13_073.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_13_073.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_13_073.jpg,-0.1132075,1,0,30.1882
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_13_144.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_13_144.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_13_144.jpg,-0.1132075,1,0,30.18884
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_13_211.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_13_211.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_13_211.jpg,-0.1132075,1,0,30.1892
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_13_280.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_13_280.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_13_280.jpg,-0.1132075,1,0,30.18952
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_13_349.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_13_349.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_13_349.jpg,-0.1132075,1,0,30.18987
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_13_421.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_13_421.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_13_421.jpg,-0.1132075,1,0,30.18979
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_13_490.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_13_490.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_13_490.jpg,-0.1132075,1,0,30.19002
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_13_562.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_13_562.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_13_562.jpg,-0.1132075,1,0,30.19019
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_13_631.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_13_631.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_13_631.jpg,-0.1037736,1,0,30.19013
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_13_701.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_13_701.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_13_701.jpg,-0.09433963,1,0,30.19017
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_13_773.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_13_773.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_13_773.jpg,-0.09433963,1,0,30.19
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_13_843.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_13_843.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_13_843.jpg,-0.09433963,1,0,30.18987
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_13_916.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_13_916.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_13_916.jpg,-0.09433963,1,0,30.1898
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_13_985.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_13_985.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_13_985.jpg,-0.09433963,1,0,30.18968
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_14_057.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_14_057.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_14_057.jpg,-0.09433963,1,0,30.19006
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_14_126.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_14_126.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_14_126.jpg,-0.09433963,1,0,30.19009
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_14_195.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_14_195.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_14_195.jpg,-0.09433963,1,0,30.18962
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_14_264.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_14_264.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_14_264.jpg,-0.04716982,1,0,30.19164
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_14_336.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_14_336.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_14_336.jpg,-0.04716982,1,0,30.19056
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_14_409.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_14_409.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_14_409.jpg,-0.04716982,1,0,30.19022
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_14_479.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_14_479.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_14_479.jpg,-0.04716982,1,0,30.19018
